 10   0   0    0 101   11 2 0 0 0 5 320:00:53                                  0                      
 10   0   0    1   1    0 2 0 0 1 1 020:01:10                                  0                      
 10   0   0   11 100    1 2 0 0 3 4 120:03:41                                  0                      
 10   0   0   11 100  101 2 0 0 3 4 520:03:45                                  0                      
 10   0   0  100   0    1 2 0 0 4 0 120:04:01                                  0                      
 10   0   0  100 100  100 2 0 0 4 4 420:04:44                                  0                      
 10   0   0  101  11    1 2 0 0 5 3 120:05:31                                  0                      
 10   0   0  110  10  100 2 0 0 6 2 420:06:24                                  0                      
 10   0   0  111 100  101 2 0 0 7 4 520:07:45                                  0                      
 10   0   0 1000   0  111 2 0 0 8 0 720:08:07                                  0                      
 10   0   0 1000   1    0 2 0 0 8 1 020:08:10                                  0                      
 10   0   0 1001   0  100 2 0 0 9 0 420:09:04                                  0                      
 10   0   1    0   0   10 2 0 1 0 0 220:10:02                                  0                      
 10   0   1    0  10  110 2 0 1 0 2 620:10:26                                  0                      
 10   0   1   10  11  111 2 0 1 2 3 720:12:37                                  0                      
 10   0   1   11   0   10 2 0 1 3 0 220:13:02                                  0                      
 10   0   1   11   1  101 2 0 1 3 1 520:13:15                                  0                      
 10   0   1   11  11  101 2 0 1 3 3 520:13:35                                  0                      
 10   0   1   11  11  101 2 0 1 3 3 520:13:35                                  0                      
 10   0   1   11 100   11 2 0 1 3 4 320:13:43                                  0                      
 10   0   1  100   1    0 2 0 1 4 1 020:14:10                                  0                      
 10   0   1  100 100 1000 2 0 1 4 4 820:14:48                                  0                      
 10   0   1  100 100 1000 2 0 1 4 4 820:14:48                                  0                      
 10   0   1  101   0  100 2 0 1 5 0 420:15:04                                  0                      
 10   0   1  101   0  101 2 0 1 5 0 520:15:05                                  0                      
 10   0   1  101   1    1 2 0 1 5 1 120:15:11                                  0                      
 10   0   1  101   1   11 2 0 1 5 1 320:15:13                                  0                      
 10   0   1  101  11   10 2 0 1 5 3 220:15:32                                  0                      
 10   0   1  101 100  110 2 0 1 5 4 620:15:46                                  0                      
 10   0   1  110   0   10 2 0 1 6 0 220:16:02                                  0                      
 10   0   1  110   1  111 2 0 1 6 1 720:16:17                                  0                      
 10   0   1  111   0   10 2 0 1 7 0 220:17:02                                  0                      
 10   0   1  111   1   11 2 0 1 7 1 320:17:13                                  0                      
 10   0   1  111   1  110 2 0 1 7 1 620:17:16                                  0                      
 10   0   1  111  10  110 2 0 1 7 2 620:17:26                                  0                      
 10   0   1  111  11    1 2 0 1 7 3 120:17:31                                  0                      
 10   0   1  111  11  110 2 0 1 7 3 620:17:36                                  0                      
 10   0   1 1000   1 1000 2 0 1 8 1 820:18:18                                  0                      
 10   0   1 1000  10  101 2 0 1 8 2 520:18:25                                  0                      
 10   0   1 1000  10  111 2 0 1 8 2 720:18:27                                  0                      
 10   0   1 1001  10   10 2 0 1 9 2 220:19:22                                  0                      
 10   0  10    0  10  100 2 0 2 0 2 420:20:24                                  0                      
 10   0  10    0  10  101 2 0 2 0 2 520:20:25                                  0                      
 10   0  10    0  10  110 2 0 2 0 2 620:20:26                                  0                      
 10   0  10    0  11   10 2 0 2 0 3 220:20:32                                  0                      
 10   0  10    1   1   10 2 0 2 1 1 220:21:12                                  0                      
 10   0  10    1   1  110 2 0 2 1 1 620:21:16                                  0                      
 10   0  10    1   1 1000 2 0 2 1 1 820:21:18                                  0                      
 10   0  10   10   0  101 2 0 2 2 0 520:22:05                                  0                      
